agent,full_name,refactoring_type,count
Human,Netflix/SimianArmy,Extract Attribute,2
Human,Netflix/SimianArmy,Extract Method,28
Human,Netflix/SimianArmy,Extract Variable,23
Human,Netflix/SimianArmy,Inline Method,1
Human,Netflix/SimianArmy,Invert Condition,1
Human,Netflix/SimianArmy,Localize Parameter,1
Human,Netflix/SimianArmy,Merge Conditional,2
Human,Netflix/SimianArmy,Modify Method Annotation,4
Human,Netflix/SimianArmy,Move And Rename Method,1
Human,Netflix/SimianArmy,Move Class,2
Human,Netflix/SimianArmy,Remove Attribute Modifier,2
Human,Netflix/SimianArmy,Remove Class Annotation,1
Human,Netflix/SimianArmy,Remove Method Annotation,1
Human,Netflix/SimianArmy,Remove Method Modifier,1
Human,Netflix/SimianArmy,Rename Attribute,1
Human,Netflix/SimianArmy,Rename Class,1
Human,Netflix/SimianArmy,Rename Method,1
Human,Netflix/SimianArmy,Rename Variable,1
Human,Netflix/SimianArmy,Replace Generic With Diamond,6
Human,Oleg-Beloy/ChipsLayoutManager,Modify Class Annotation,1
Human,Yalantis/Side-Menu.Android,Change Attribute Type,4
Human,Yalantis/Side-Menu.Android,Change Parameter Type,4
Human,Yalantis/Side-Menu.Android,Change Variable Type,1
Human,Yalantis/Side-Menu.Android,Rename Attribute,4
Human,alibaba/dexposed,Remove Method Modifier,1
Human,alibaba/freeline,Add Class Modifier,1
Human,alibaba/freeline,Add Method Annotation,2
Human,alibaba/freeline,Add Method Modifier,25
Human,alibaba/freeline,Add Parameter,2
Human,alibaba/freeline,Add Parameter Modifier,12
Human,alibaba/freeline,Add Thrown Exception Type,4
Human,alibaba/freeline,Add Variable Modifier,4
Human,alibaba/freeline,Change Attribute Type,5
Human,alibaba/freeline,Change Class Access Modifier,1
Human,alibaba/freeline,Change Method Access Modifier,15
Human,alibaba/freeline,Change Parameter Type,4
Human,alibaba/freeline,Change Return Type,10
Human,alibaba/freeline,Change Variable Type,5
Human,alibaba/freeline,Encapsulate Attribute,2
Human,alibaba/freeline,Extract And Move Method,4
Human,alibaba/freeline,Extract Class,10
Human,alibaba/freeline,Extract Method,22
Human,alibaba/freeline,Extract Variable,3
Human,alibaba/freeline,Inline Method,4
Human,alibaba/freeline,Move And Inline Method,1
